2024-05-09 22:02:09.301 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=1; now=1715310129301; nextExpiration=1715310129301; keyCount=0; hasEvents=false; eval=false
2024-05-09 22:02:10.308 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=1; now=1715310130308; nextExpiration=1715310130301; keyCount=0; hasEvents=false; eval=false
2024-05-09 22:02:11.308 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=1; now=1715310131308; nextExpiration=1715310131308; keyCount=0; hasEvents=false; eval=false
2024-05-09 22:02:12.308 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=1; now=1715310132308; nextExpiration=1715310132308; keyCount=0; hasEvents=false; eval=false
2024-05-09 22:02:13.309 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=1; now=1715310133309; nextExpiration=1715310133308; keyCount=0; hasEvents=false; eval=false
2024-05-09 22:02:14.310 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=1; now=1715310134310; nextExpiration=1715310134309; keyCount=0; hasEvents=false; eval=false
2024-05-09 22:02:15.311 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=1; now=1715310135311; nextExpiration=1715310135310; keyCount=0; hasEvents=false; eval=false
2024-05-09 22:02:16.312 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=1; now=1715310136312; nextExpiration=1715310136311; keyCount=0; hasEvents=false; eval=false
2024-05-09 22:02:17.313 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=1; now=1715310137313; nextExpiration=1715310137312; keyCount=0; hasEvents=false; eval=false
2024-05-09 22:02:18.313 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=1; now=1715310138313; nextExpiration=1715310138313; keyCount=0; hasEvents=false; eval=false
2024-05-09 22:02:19.314 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=1; now=1715310139314; nextExpiration=1715310139313; keyCount=0; hasEvents=false; eval=false
2024-05-09 22:02:20.315 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=1; now=1715310140315; nextExpiration=1715310140314; keyCount=0; hasEvents=false; eval=false
2024-05-09 22:02:21.316 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=1; now=1715310141316; nextExpiration=1715310141315; keyCount=0; hasEvents=false; eval=false
2024-05-09 22:02:22.316 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=1; now=1715310142316; nextExpiration=1715310142316; keyCount=0; hasEvents=false; eval=false
2024-05-09 22:02:23.317 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=1; now=1715310143317; nextExpiration=1715310143316; keyCount=0; hasEvents=false; eval=false
2024-05-09 22:02:24.317 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=1; now=1715310144317; nextExpiration=1715310144317; keyCount=0; hasEvents=false; eval=false
2024-05-09 22:02:25.318 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=1; now=1715310145318; nextExpiration=1715310145317; keyCount=0; hasEvents=false; eval=false
2024-05-09 22:02:26.319 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=1; now=1715310146319; nextExpiration=1715310146318; keyCount=0; hasEvents=false; eval=false
2024-05-09 22:02:27.319 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=1; now=1715310147319; nextExpiration=1715310147319; keyCount=0; hasEvents=false; eval=false
2024-05-09 22:02:28.320 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=1; now=1715310148320; nextExpiration=1715310148319; keyCount=0; hasEvents=false; eval=false
2024-05-09 22:02:29.321 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=1; now=1715310149321; nextExpiration=1715310149320; keyCount=0; hasEvents=false; eval=false
2024-05-09 22:02:30.321 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=1; now=1715310150321; nextExpiration=1715310150321; keyCount=0; hasEvents=false; eval=false
2024-05-09 22:02:31.322 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=1; now=1715310151322; nextExpiration=1715310151321; keyCount=0; hasEvents=false; eval=false
2024-05-09 22:02:32.324 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=1; now=1715310152324; nextExpiration=1715310152322; keyCount=0; hasEvents=false; eval=false
2024-05-09 22:02:33.324 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=1; now=1715310153324; nextExpiration=1715310153324; keyCount=0; hasEvents=false; eval=false
2024-05-09 22:02:34.325 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=1; now=1715310154325; nextExpiration=1715310154324; keyCount=0; hasEvents=false; eval=false
2024-05-09 22:02:35.325 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=1; now=1715310155325; nextExpiration=1715310155325; keyCount=0; hasEvents=false; eval=false
2024-05-09 22:02:36.325 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=1; now=1715310156325; nextExpiration=1715310156325; keyCount=0; hasEvents=false; eval=false
2024-05-09 22:02:37.326 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=1; now=1715310157326; nextExpiration=1715310157325; keyCount=0; hasEvents=false; eval=false
2024-05-09 22:02:38.327 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=1; now=1715310158327; nextExpiration=1715310158326; keyCount=0; hasEvents=false; eval=false
2024-05-09 22:02:39.327 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=1; now=1715310159327; nextExpiration=1715310159327; keyCount=0; hasEvents=false; eval=false
2024-05-09 22:02:40.328 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=1; now=1715310160328; nextExpiration=1715310160327; keyCount=0; hasEvents=false; eval=false
2024-05-09 22:02:41.328 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=1; now=1715310161328; nextExpiration=1715310161328; keyCount=0; hasEvents=false; eval=false
2024-05-09 22:02:42.329 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=1; now=1715310162329; nextExpiration=1715310162328; keyCount=0; hasEvents=false; eval=false
2024-05-09 22:02:43.329 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=1; now=1715310163329; nextExpiration=1715310163329; keyCount=0; hasEvents=false; eval=false
2024-05-09 22:02:44.329 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=1; now=1715310164329; nextExpiration=1715310164329; keyCount=0; hasEvents=false; eval=false
2024-05-09 22:02:45.330 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=1; now=1715310165330; nextExpiration=1715310165329; keyCount=0; hasEvents=false; eval=false
2024-05-09 22:02:46.330 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=1; now=1715310166330; nextExpiration=1715310166330; keyCount=0; hasEvents=false; eval=false
2024-05-09 22:02:47.331 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=1; now=1715310167331; nextExpiration=1715310167330; keyCount=0; hasEvents=false; eval=false
2024-05-09 22:02:48.331 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=1; now=1715310168331; nextExpiration=1715310168331; keyCount=0; hasEvents=false; eval=false
2024-05-09 22:02:49.332 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=1; now=1715310169332; nextExpiration=1715310169331; keyCount=0; hasEvents=false; eval=false
2024-05-09 22:02:50.333 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=1; now=1715310170333; nextExpiration=1715310170332; keyCount=0; hasEvents=false; eval=false
2024-05-09 22:02:51.334 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=1; now=1715310171334; nextExpiration=1715310171333; keyCount=0; hasEvents=false; eval=false
2024-05-09 22:02:52.334 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=1; now=1715310172334; nextExpiration=1715310172334; keyCount=0; hasEvents=false; eval=false
2024-05-09 22:02:53.138 TRACE [Catalina-utility-2] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - Start expire sessions StandardManager at 1715310173136 sessioncount 0
2024-05-09 22:02:53.138 TRACE [Catalina-utility-2] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - End expire sessions StandardManager processingTime 2 expired sessions: 0
2024-05-09 22:02:53.335 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=1; now=1715310173335; nextExpiration=1715310173334; keyCount=0; hasEvents=false; eval=false
2024-05-09 22:02:54.336 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=1; now=1715310174336; nextExpiration=1715310174335; keyCount=0; hasEvents=false; eval=false
