2024-05-04 21:24:38.716 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=0; now=1714875878716; nextExpiration=1714875878715; keyCount=0; hasEvents=false; eval=false
2024-05-04 21:24:39.723 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=0; now=1714875879723; nextExpiration=1714875879716; keyCount=0; hasEvents=false; eval=false
2024-05-04 21:24:40.723 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=0; now=1714875880723; nextExpiration=1714875880723; keyCount=0; hasEvents=false; eval=false
2024-05-04 21:24:41.724 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=0; now=1714875881724; nextExpiration=1714875881723; keyCount=0; hasEvents=false; eval=false
2024-05-04 21:24:42.725 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=0; now=1714875882725; nextExpiration=1714875882724; keyCount=0; hasEvents=false; eval=false
2024-05-04 21:24:43.726 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=0; now=1714875883726; nextExpiration=1714875883725; keyCount=0; hasEvents=false; eval=false
2024-05-04 21:24:44.727 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=0; now=1714875884727; nextExpiration=1714875884726; keyCount=0; hasEvents=false; eval=false
2024-05-04 21:24:45.727 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=0; now=1714875885727; nextExpiration=1714875885727; keyCount=0; hasEvents=false; eval=false
2024-05-04 21:24:46.728 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=0; now=1714875886728; nextExpiration=1714875886727; keyCount=0; hasEvents=false; eval=false
2024-05-04 21:24:47.729 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=0; now=1714875887729; nextExpiration=1714875887728; keyCount=0; hasEvents=false; eval=false
2024-05-04 21:24:48.729 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=0; now=1714875888729; nextExpiration=1714875888729; keyCount=0; hasEvents=false; eval=false
2024-05-04 21:24:49.729 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=0; now=1714875889729; nextExpiration=1714875889729; keyCount=0; hasEvents=false; eval=false
2024-05-04 21:24:50.730 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=0; now=1714875890730; nextExpiration=1714875890729; keyCount=0; hasEvents=false; eval=false
2024-05-04 21:24:51.731 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=0; now=1714875891731; nextExpiration=1714875891730; keyCount=0; hasEvents=false; eval=false
2024-05-04 21:24:52.732 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=0; now=1714875892732; nextExpiration=1714875892731; keyCount=0; hasEvents=false; eval=false
2024-05-04 21:24:53.732 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=0; now=1714875893732; nextExpiration=1714875893732; keyCount=0; hasEvents=false; eval=false
2024-05-04 21:24:54.732 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=0; now=1714875894732; nextExpiration=1714875894732; keyCount=0; hasEvents=false; eval=false
2024-05-04 21:24:55.733 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=0; now=1714875895733; nextExpiration=1714875895732; keyCount=0; hasEvents=false; eval=false
2024-05-04 21:24:56.733 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=0; now=1714875896733; nextExpiration=1714875896733; keyCount=0; hasEvents=false; eval=false
2024-05-04 21:24:57.734 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=0; now=1714875897734; nextExpiration=1714875897733; keyCount=0; hasEvents=false; eval=false
2024-05-04 21:24:58.734 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=0; now=1714875898734; nextExpiration=1714875898734; keyCount=0; hasEvents=false; eval=false
2024-05-04 21:24:59.734 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=0; now=1714875899734; nextExpiration=1714875899734; keyCount=0; hasEvents=false; eval=false
2024-05-04 21:25:00.735 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=0; now=1714875900735; nextExpiration=1714875900734; keyCount=0; hasEvents=false; eval=false
2024-05-04 21:25:01.735 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=0; now=1714875901735; nextExpiration=1714875901735; keyCount=0; hasEvents=false; eval=false
2024-05-04 21:25:02.736 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=0; now=1714875902736; nextExpiration=1714875902735; keyCount=0; hasEvents=false; eval=false
2024-05-04 21:25:03.736 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=0; now=1714875903736; nextExpiration=1714875903736; keyCount=0; hasEvents=false; eval=false
2024-05-04 21:25:04.737 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=0; now=1714875904737; nextExpiration=1714875904736; keyCount=0; hasEvents=false; eval=false
2024-05-04 21:25:05.738 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=0; now=1714875905738; nextExpiration=1714875905737; keyCount=0; hasEvents=false; eval=false
2024-05-04 21:25:06.738 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=0; now=1714875906738; nextExpiration=1714875906738; keyCount=0; hasEvents=false; eval=false
2024-05-04 21:25:07.739 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=0; now=1714875907739; nextExpiration=1714875907738; keyCount=0; hasEvents=false; eval=false
2024-05-04 21:25:08.739 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=0; now=1714875908739; nextExpiration=1714875908739; keyCount=0; hasEvents=false; eval=false
2024-05-04 21:25:09.740 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=0; now=1714875909740; nextExpiration=1714875909739; keyCount=0; hasEvents=false; eval=false
2024-05-04 21:25:10.740 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=0; now=1714875910740; nextExpiration=1714875910740; keyCount=0; hasEvents=false; eval=false
2024-05-04 21:25:11.740 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=0; now=1714875911740; nextExpiration=1714875911740; keyCount=0; hasEvents=false; eval=false
2024-05-04 21:25:12.741 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=0; now=1714875912741; nextExpiration=1714875912740; keyCount=0; hasEvents=false; eval=false
2024-05-04 21:25:13.742 TRACE [http-nio-8080-Poller] [org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)] - timeout completed: keys processed=0; now=1714875913742; nextExpiration=1714875913741; keyCount=0; hasEvents=false; eval=false
